subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_20,20,20,20,15946,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1459554415384374,0.7695140833891877,0.6004896023563682,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.15910681965920237,2.3443669304327903,-0.333093667861642,0.21350840069915686,0.8155071407600537
order_21,21,21,21,15939,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1278561486519023,0.7532299709545632,0.5945073267355044,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.1854284822734783,2.2297516245589115,-0.34636498708934377,0.10961972300279416,0.7371105251723773
order_22,22,22,22,15924,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.11085382887246,0.738792441739297,0.59357112390565,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.20606814131214446,2.0521040393177317,-0.35666689999829987,0.003590761093969683,0.6388356176840334
order_23,23,23,23,15914,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0919226188568216,0.7226804996739578,0.5864774395704815,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.22220588277366987,1.96609020247946,-0.3502667545522916,-0.10913390628901606,0.3075709304776274
order_24,24,24,24,15904,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0784578053279748,0.7138739797189645,0.5747733179734349,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.19476679036995348,1.8118833469701083,-0.3741073059853099,-0.12399242764365867,0.4401238790247022
order_25,25,25,25,15875,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0341272678366635,0.6823807906301633,0.5450696234652652,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.16909659429206306,1.7154032359378864,-0.4222564800880519,-0.002680628418826941,0.48255197668261063
order_26,26,26,26,15843,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0112243166960384,0.6681065609397486,0.5300429636776249,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.13502240398431026,1.6146210300724386,-0.4542103765028244,-0.030109085891100163,0.5985786693526102
order_27,27,27,27,15739,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9943899201599414,0.65736050988009,0.5229807911483625,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.12802692105707622,1.5325725013629594,-0.47736928060953915,0.0011009735516938016,0.6772000731149269
order_28,28,28,28,15210,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9762299060603475,0.6446453810728002,0.5172477847249773,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.14835792834425132,1.5119361904469666,-0.4853152955502836,-0.05532092299498583,0.5393721567818146
order_29,29,29,29,14275,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0265410025190576,0.6810824614746184,0.5416959005734989,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.18340123764152133,1.525861730506702,-0.4500802755980995,0.0033815324567872678,0.5028834405574816
